Date,Day,DayNumb,Top10 Gross,YD,LW,Releases,Film,Gross,GrossNew,GrossRevenue
43465,1,365,"$36,240,441",-19.60%,-14.20%,53,Aquaman,"$10,011,638",$10011638,10011638
43464,7,364,"$50,932,176",-12.40%,2.90%,51,Aquaman,"$16,440,551",$16440551,16440551
43463,6,363,"$58,118,460",2.60%,4.60%,51,Aquaman,"$18,632,907",$18632907,18632907
43462,5,362,"$56,667,767",9.70%,-2.90%,51,Aquaman,"$17,041,113",$17041113,17041113
43461,4,361,"$51,671,321",-7%,299.20%,53,Aquaman,"$14,622,228",$14622228,14622228
43460,3,360,"$55,579,761",-21.60%,261.80%,52,Aquaman,"$16,903,518",$16903518,16903518
43459,2,359,"$70,898,743",-3.40%,30%,53,Aquaman,"$21,982,419",$21982419,21982419
43458,1,358,"$31,752,644",-35.80%,184.50%,49,Aquaman,"$10,851,928",$10851928,10851928
43457,7,357,"$49,473,471",-10.90%,72.70%,53,Aquaman,"$18,793,733",$18793733,18793733
43456,6,356,"$55,554,266",-4.80%,29.80%,52,Aquaman,"$21,346,634",$21346634,21346634
43455,5,355,"$58,331,971",350.70%,83.20%,53,Aquaman,"$27,733,155",$27733155,27733155
43454,4,354,"$12,943,731",-15.70%,145.90%,60,Mary Poppins Returns,"$4,051,124",$4051124,4051124
43453,3,353,"$15,362,046",7.60%,146.40%,63,Mary Poppins Returns,"$4,763,547",$4763547,4763547
43452,2,352,"$14,278,049",27.90%,61.10%,59,Spider-Man: Into the Spider-Verse,"$4,301,097",$4301097,4301097
43451,1,351,"$11,160,534",-61%,104.50%,61,Spider-Man: Into the Spider-Verse,"$2,765,829",$2765829,2765829
43450,7,350,"$28,645,794",-33.10%,35.60%,62,Spider-Man: Into the Spider-Verse,"$9,685,478",$9685478,9685478
43449,6,349,"$42,788,962",34.40%,25.40%,65,Spider-Man: Into the Spider-Verse,"$13,012,817",$13012817,13012817
43448,5,348,"$31,834,524",504.70%,71%,60,Spider-Man: Into the Spider-Verse,"$12,665,081",$12665081,12665081
43447,4,347,"$5,264,085",-15.60%,-25.30%,63,The Grinch,"$987,880",$987880,987880
43446,3,346,"$6,234,474",-29.70%,-17.90%,64,The Grinch,"$970,245",$970245,970245
43445,2,345,"$8,862,469",62.40%,-23.60%,61,The Grinch,"$1,533,720",$1533720,1533720
43444,1,344,"$5,456,743",-74.20%,-18.50%,62,The Grinch,"$893,640",$893640,893640
43443,7,343,"$21,129,847",-38.10%,-30.30%,63,Ralph Breaks the Internet,"$4,975,604",$4975604,4975604
43442,6,342,"$34,133,076",83.40%,-28%,62,Ralph Breaks the Internet,"$7,762,516",$7762516,7762516
43441,5,341,"$18,614,792",164.30%,-34.50%,61,Ralph Breaks the Internet,"$3,515,711",$3515711,3515711
43440,4,340,"$7,043,951",-7.20%,-24.20%,54,Creed II,"$1,107,634",$1107634,1107634
43439,3,339,"$7,589,749",-34.60%,-19.20%,52,Ralph Breaks the Internet,"$1,218,513",$1218513,1218513
43438,2,338,"$11,596,578",73.10%,-25.40%,54,Ralph Breaks the Internet,"$2,139,443",$2139443,2139443
43437,1,337,"$6,698,881",-77.90%,-38.20%,54,Ralph Breaks the Internet,"$1,152,644",$1152644,1152644
43436,7,336,"$30,318,732",-36.10%,-35.20%,55,Ralph Breaks the Internet,"$7,909,049",$7909049,7909049
43435,6,335,"$47,431,308",66.80%,-39.50%,54,Ralph Breaks the Internet,"$11,908,969",$11908969,11908969
43434,5,334,"$28,440,698",206%,-63.90%,54,Ralph Breaks the Internet,"$5,748,927",$5748927,5748927
43433,4,333,"$9,295,049",-1.10%,-76.80%,58,Ralph Breaks the Internet,"$1,650,373",$1650373,1650373
43432,3,332,"$9,398,372",-39.50%,-82.80%,55,Creed II,"$1,702,204",$1702204,1702204
43431,2,331,"$15,536,680",43.40%,-31.30%,52,Ralph Breaks the Internet,"$3,235,011",$3235011,3235011
43430,1,330,"$10,836,901",-76.90%,-33.90%,55,Ralph Breaks the Internet,"$2,251,879",$2251879,2251879
43429,7,329,"$46,813,707",-40.20%,2.20%,55,Ralph Breaks the Internet,"$13,347,996",$13347996,13347996
43428,6,328,"$78,342,803",-0.40%,22.30%,55,Ralph Breaks the Internet,"$21,178,540",$21178540,21178540
43427,5,327,"$78,680,108",96.40%,51.10%,54,Ralph Breaks the Internet,"$21,711,098",$21711098,21711098
43426,4,326,"$40,067,310",18.10%,46.40%,58,Ralph Breaks the Internet,"$10,172,331",$10172331,10172331
43425,3,325,"$54,726,134",142.10%,544.10%,58,Ralph Breaks the Internet,"$18,340,440",$18340440,18340440
43424,2,324,"$22,600,225",37.90%,59%,55,Fantastic Beasts: The Crimes of Grindelwald,"$6,959,720",$6959720,6959720
43423,1,323,"$16,386,643",-64.20%,-28%,55,Fantastic Beasts: The Crimes of Grindelwald,"$5,074,414",$5074414,5074414
43422,7,322,"$45,823,172",-28.50%,-1.30%,61,Fantastic Beasts: The Crimes of Grindelwald,"$15,368,019",$15368019,15368019
43421,6,321,"$64,079,674",23%,2.10%,62,Fantastic Beasts: The Crimes of Grindelwald,"$21,321,824",$21321824,21321824
43420,5,320,"$52,088,352",546.50%,20%,61,Fantastic Beasts: The Crimes of Grindelwald,"$25,473,261",$25473261,25473261
43419,4,319,"$8,057,483",-5.20%,1.10%,63,The Grinch,"$2,523,805",$2523805,2523805
43418,3,318,"$8,497,130",-40.20%,-2.10%,64,The Grinch,"$2,661,885",$2661885,2661885
43417,2,317,"$14,215,303",-37.50%,-11.80%,63,The Grinch,"$4,952,140",$4952140,4952140
43416,1,316,"$22,745,739",-51%,130.90%,61,The Grinch,"$10,665,595",$10665595,10665595
43415,7,315,"$46,431,475",-26%,35.10%,65,The Grinch,"$21,487,420",$21487420,21487420
43414,6,314,"$62,756,436",44.60%,18.20%,62,The Grinch,"$27,444,270",$27444270,27444270
43413,5,313,"$43,392,632",444.50%,3.50%,62,The Grinch,"$18,641,165",$18641165,18641165
43412,4,312,"$7,969,253",-8.10%,33.40%,62,Bohemian Rhapsody,"$3,527,355",$3527355,3527355
43411,3,311,"$8,675,372",-46.20%,-21.30%,65,Bohemian Rhapsody,"$3,938,110",$3938110,3938110
43410,2,310,"$16,116,864",63.60%,50.80%,65,Bohemian Rhapsody,"$6,248,841",$6248841,6248841
43409,1,309,"$9,848,845",-71.30%,35.80%,64,Bohemian Rhapsody,"$4,385,123",$4385123,4385123
43408,7,308,"$34,370,134",-35.20%,41.70%,67,Bohemian Rhapsody,"$13,379,805",$13379805,13379805
43407,6,307,"$53,081,284",26.60%,35.30%,67,Bohemian Rhapsody,"$18,869,750",$18869750,18869750
43406,5,306,"$41,933,368",601.80%,52.50%,66,Bohemian Rhapsody,"$18,811,564",$18811564,18811564
43405,4,305,"$5,975,432",-45.80%,-39.60%,68,Halloween,"$1,507,990",$1507990,1507990
43404,3,304,"$11,026,565",46.10%,33.60%,66,Halloween,"$5,547,305",$5547305,5547305
43403,2,303,"$10,685,276",47.30%,-30.50%,67,Halloween,"$3,791,900",$3791900,3791900
